INSTRUCTIONS: | ИНСТРУКЦИИ:
I foster an environment where everyone feels safe to share. | Я создаю атмосферу, в которой каждый чувствует себя в безопасности, выражая свои мысли и чувства.
I choose to uplift others instead of tearing them down. | Я выбираю поддерживать и вдохновлять других, а не унижать их.
I recognize the importance of mental well-being in communication. | Я признаю важность душевного благополучия в общении.
I embrace the beauty of cultural differences and shared humanity. | Я принимаю красоту культурных различий и нашей общей человечности.
I support initiatives that promote understanding and respect. | Я поддерживаю инициативы, способствующие взаимопониманию и уважению.
I engage in self-reflection to improve my interactions. | Я занимаюсь самоанализом, чтобы улучшать своё взаимодействие с другими.
I approach each day with an open mind and heart. | Каждый день я встречаю с открытым умом и сердцем.
I recognize that empathy can change the world. | Я признаю, что эмпатия способна изменить мир.
I believe that together, we can create a more understanding world. | Я верю, что вместе мы можем создать мир, в котором будет больше взаимопонимания.
I lead by example, demonstrating civil behavior. | Я подаю пример своим уважительным и достойным поведением.
I commit to lifelong learning about diverse cultures. | Я посвящаю себя непрерывному изучению различных культур.
I celebrate the strengths that come from our differences. | Я ценю силу, которая рождается из наших различий.
I challenge my own biases and assumptions. | Я подвергаю сомнению собственные предубеждения и предположения.
I create an atmosphere where everyone feels valued. | Я создаю атмосферу, в которой каждый чувствует, что его ценят.
I uplift others through words of encouragement and support. | Я поддерживаю и вдохновляю других словами ободрения и поддержки.
